漂亮	1.94785989498	-1.2693210333
美女	1.84605787376	-1.16751901208
好玩	1.82990059471	-1.15136173303
不错	1.82802691117	-1.14948804949
喜欢	1.69541160869	-1.01687274701
最好	1.67048408779	-0.991945226113
好听	1.65471787713	-0.976179015448
聪明	1.57056563161	-0.892026769925
谢谢	1.5534076944	-0.874868832724
赞	1.53219699875	-0.853658137072
开心	1.52899012687	-0.850451265191
好吃	1.52125842941	-0.842719567726
好好	1.43411286582	-0.755574004136
欢迎	1.41274314407	-0.734204282388
希望	1.35080192457	-0.672263062892
可能	1.32001848714	-0.64147962546
好看	1.30840279062	-0.62986392894
可爱	1.27851108595	-0.599972224267
有钱	1.26910837733	-0.590569515648
快乐	1.23320248833	-0.55466362665
便宜	1.20086468558	-0.522325823898
有意思	1.14747641468	-0.468937552997
最新	1.14023579049	-0.461696928809
幸福	1.13274729884	-0.454208437158
依依	1.11646734917	-0.437928487485
好笑	1.09680216485	-0.418263303166
主要	1.08427481285	-0.405735951165
幽默	1.06487683964	-0.386337977961
支持	1.02224985401	-0.34371099233
明白	1.02221224814	-0.343673386459
关注	1.00610842555	-0.327569563874
上	0.999382075242	-0.320843213561
有趣	0.982984303445	-0.304445441764
谦虚	0.963619705595	-0.285080843915
真心	0.959949380267	-0.281410518586
谈恋爱	0.955903863539	-0.277365001858
美丽	0.950745961624	-0.272207099943
晚上	0.942099864444	-0.263561002764
互赞	0.923531299826	-0.244992438145
根本	0.92089968987	-0.242360828189
温柔	0.915551720075	-0.237012858394
恋爱	0.906793044392	-0.228254182712
完美	0.903893874896	-0.225355013215
高兴	0.902648190172	-0.224109328491
最高	0.89894642016	-0.220407558479
请	0.890203079902	-0.211664218222
安静	0.885485974418	-0.206947112738
奖励	0.878799557983	-0.200260696302
认识	0.878046091743	-0.199507230062
能	0.868074711097	-0.189535849416
舒服	0.86728726042	-0.188748398739
梦想	0.866543210191	-0.18800434851
大家	0.856441858011	-0.17790299633
中心	0.856154157127	-0.177615295446
微笑	0.852485287774	-0.173946426094
健康	0.842479005491	-0.16394014381
祝福	0.839313311228	-0.160774449548
点	0.837500861258	-0.158961999577
强大	0.836279739693	-0.157740878012
主动	0.819923667706	-0.141384806025
求	0.815512028424	-0.136973166743
接受	0.81512843303	-0.13658957135
挺	0.805707775715	-0.127168914034
老实	0.799466615096	-0.120927753415
自然	0.798287400261	-0.11974853858
说好	0.796995807758	-0.118456946077
爱上	0.793425596888	-0.114886735207
最	0.791784135759	-0.113245274079
流行	0.791538959473	-0.113000097792
求赞	0.780038948908	-0.101500087227
群	0.77383479927	-0.0952959375891
真正	0.771401533144	-0.0928626714634
哪个	0.764921793034	-0.0863829313531
深奥	0.762485136379	-0.0839462746981
膜拜	0.758155018479	-0.0796161567985
恭喜	0.755072458619	-0.0765335969381
自由	0.752564351629	-0.074025489948
同意	0.750059671668	-0.071520809987
成熟	0.74474585914	-0.0662069974593
哪里	0.744475998126	-0.0659371364456
多少	0.740297780146	-0.0617589184657
原谅	0.736685349421	-0.0581464877401
比	0.733499643263	-0.0549607815818
精灵	0.73290111919	-0.0543622575092
啥	0.73044255477	-0.051903693089
开通	0.718073037211	-0.0395341755307
精神	0.715580649639	-0.0370417879577
真实	0.713809063586	-0.035270201905
早上好	0.712255460483	-0.0337165988024
通过	0.71208033832	-0.0335414766396
朋友	0.710579439621	-0.0320405779407
关心	0.70940546342	-0.0308666017392
愿意	0.705179228282	-0.0266403666014
在乎	0.704792779014	-0.0262539173329
安全	0.704103931379	-0.0255650696977
呵呵	0.702641547014	-0.0241026853336
依然	0.692899429234	-0.0143605675533
正常	0.69236313986	-0.0138242781787
回	0.688719857718	-0.0101809960374
一下	0.683436664766	-0.00489780308553
需要	0.679987354139	-0.00144849245788
怎么样	0.679249338732	-0.000710477050961
低调	0.679091506051	-0.000552644370095
文明	0.67639281604	0.00214604564079
逍遥	0.67527401823	0.00326484345031
期待	0.674513901669	0.00402496001152
有种	0.673926224762	0.00461263691923
新	0.671657707497	0.00688115418419
高级	0.671367917377	0.00717094430395
祝	0.66375682992	0.0147820317609
名字	0.663095674134	0.0154431875472
是否	0.65321656054	0.0253223011412
好奇	0.65227212	0.0262667416813
听的歌	0.649986126295	0.0285527353854
好用	0.648587119556	0.0299517421243
天才	0.640198813323	0.0383400483577
哪	0.638967062548	0.039571799133
完全	0.638102064419	0.0404367972622
必回	0.637898780663	0.0406400810177
怎样	0.63589396376	0.042644897921
才	0.630785967036	0.0477528946444
家	0.620286010218	0.0582528514624
哪些	0.619926684432	0.0586121772488
一定	0.618861875809	0.0596769858719
所以	0.617380147888	0.0611587137927
才能	0.615918724947	0.062620136734
相爱	0.613724508154	0.0648143535268
做	0.612892134804	0.0656467268769
一口	0.612857555434	0.0656813062472
干净	0.604750139072	0.0737887226088
行	0.60456092432	0.073977937361
哈哈	0.604407683724	0.0741311779572
什么	0.601965593271	0.0765732684093
清楚	0.601386601039	0.0771522606421
欢乐	0.599993993724	0.0785448679566
认真	0.599642931548	0.078895930133
帮	0.59793602827	0.0806028334104
纯洁	0.597579744978	0.0809591167026
看看	0.596537087287	0.0820017743937
平安	0.595614935133	0.082923926548
方法	0.593878355712	0.0846605059691
比较	0.590690722903	0.0878481387776
得	0.588102230092	0.0904366315884
介绍	0.587654317205	0.0908845444753
结婚	0.586329409264	0.0922094524165
正好	0.586293719523	0.0922451421575
只	0.583209191042	0.095329670639
要	0.582696026947	0.0958428347342
男	0.582322227597	0.0962166340842
爱上你	0.580459543404	0.0980793182767
给	0.580422565209	0.0981162964713
