vui	1.20476043189
ad	1.04161706307
cùng	1.03703442398
đê	0.990191711309
b	0.988510371287
rẻ	0.987340158492
triển	0.973023289229
))	0.943651434496
giảm	0.921222607555
tuyển	0.919704163563
ahihi	0.898951024036
sắm	0.895252831468
ok	0.893496813091
😂😂😂	0.881691484113
kìa	0.862250879587
mai	0.855760296285
đang	0.854082584056
cn	0.850514173055
rảnh	0.849996213076
)))	0.836412312013
hihi	0.831883367633
tag	0.830965682567
mát	0.828727939689
rủ	0.805813596307
chiều	0.801840932188
ha	0.786276045728
t7	0.782465378393
hehe	0.780502797262
đi	0.77266290045
dạng	0.762034803805
free	0.755909039406
lạc	0.754627093878
thủy	0.75145014541
vẽ	0.748181537089
dinh	0.742125763461
trà	0.737098851512
hẹn	0.729769660936
nao	0.726260532771
thăng	0.725640261394
chơi	0.725331615078
trưa	0.724435847087
<3	0.720781918642
học	0.720461972102
nắng	0.719354441221
😁	0.712081690162
quán	0.711958348652
))))	0.711225682336
sn	0.709153156644
nhiệt	0.708660778965
hốt	0.707496538181
ms	0.704310187001
hồng	0.701222035893
bn	0.698651329482
😍	0.697815697558
áp	0.696569744031
😂😂	0.692482136418
thử	0.688844370246
vietnam	0.680332200646
buổi	0.679847366824
đón	0.678472559869
mừng	0.678079562199
huyền	0.67709825072
dầu	0.676545597256
chào	0.67478144909
lượng	0.674198290298
20%	0.674181057637
)	0.673292879271
tối	0.673080188742
đêm	0.671335214346
thích	0.664106980308
ae	0.662721625706
mún	0.661797970316
đãi	0.661040600914
bận	0.656054290627
#bigc	0.653005400543
ạ	0.650118961024
e	0.648959713765
trang	0.64877406023
nướng	0.647318387451
hương	0.645010428679
ạ	0.643878597403
lượn	0.643750418176
add	0.642534371965
iu	0.642522965235
hội	0.642071893139
mời	0.639489070245
đại	0.636418743405
ngon	0.635587015612
đông	0.634956727826
chúc	0.632196172862
bàn	0.630019182883
henna	0.625861482327
hi	0.625683917636
bbq	0.623710052177
:d	0.621589886494
chở	0.619729823762
đinh	0.618161284298
chọn	0.615525611029
ké	0.615203240551
t6	0.614910260831
ê	0.614824845175
7	0.614266052656
hả	0.610515202423
chuẩn	0.60932072923
tầm	0.60829393118
hk	0.608088056845
tha	0.607917558496
cuoi	0.606520606473
hỏi	0.605521473095
rộng	0.605514508761
đc	0.604130819511
hiến	0.600448161277
hjhj	0.59990191454
hộ	0.598001560733
mỳ	0.597998074949
t	0.596632570752
tiện	0.595031673592
suất	0.594414159072
đứa	0.594126007136
tuần	0.593310762732
giao	0.593103372507
😂	0.592679218295
bùi	0.591563866798
muộn	0.589682792323
rãnh	0.589682220303
vũ	0.589501354009
chị	0.589286402039
ngố	0.588873480084
đình	0.588607442496
hum	0.587674256168
hn	0.584666956349
hùng	0.58457799613
cuối	0.582706110159
ưu	0.582249884563
thư	0.581760496111
ơn	0.581726435953
cụm	0.581314333555
t2	0.581112654583
bui	0.580905287774
mệt	0.579604732001
nhật	0.579540559922
đặt	0.578202582936
đầy	0.575398113897
ước	0.573840007342
nhà	0.573800668376
tìm	0.573573875871
to	0.571969013255
dag	0.570875274295
m	0.570829326512
phố	0.568064527939
ngắm	0.567264846132
quỳnh	0.567033258422
my	0.566051244075
50k	0.563923028272
choi	0.56349046914
oy	0.563264339689
kem	0.563144705986
tuyệt	0.562709878313
tranh	0.561727431767
bạn	0.560127369668
dùm	0.559983725698
thảo	0.559588651959
âu	0.558980008628
dk	0.558795516647
ib	0.55756323911
nà	0.557300165477
bánh	0.556660735287
hnao	0.556614993935
ship	0.555942204662
hoặc	0.55575906306
😊	0.554151327248
nhiêu	0.554095416001
hem	0.553321865459
ghé	0.552796489091
miêu	0.552678910445
hò	0.552566733585
chị	0.551788710776
zui	0.551576850294
uh	0.551126573993
phú	0.549252176526
😄	0.548914945507
ngô	0.548553220646
quen	0.548518997149
gội	0.547653281228
)))))	0.546520872961
dẫn	0.546213794099
trần	0.546030048038
hí	0.545973856245
kaka	0.545574192758
😍😍😍	0.54467789783
mí	0.543703601108
team	0.542129553147
phương	0.541901878426
tý	0.540055875093
🤣	0.539857718741
tăng	0.539094791364
king	0.537836756937
đủ	0.536813818224
bit	0.536416791421
nhờ	0.536030405454
miền	0.535112890047
thủ	0.535063507572
tấn	0.534882921131
mặt	0.5339801536
sóng	0.533706757689
chen	0.532518222164
mượn	0.530961616733
cmt	0.530954562207
dễ	0.530497686432
giá	0.530468612374
ninh	0.530188815614
hp	0.529601380078
hy	0.529518934079
thanks	0.529241417685
zai	0.528304520182
hồ	0.528279922126
yến	0.528275320203
ánh	0.527366378837
xả	0.527257850323
sướng	0.527006436452
khao	0.526612019664
chao	0.526383033071
bơi	0.525105417028
bếp	0.52361886767
sdt	0.522139800649
huỳnh	0.522116328608
hảo	0.521446829342
diễn	0.521412414911
đk	0.520276239031
hơm	0.520172181404
nàng	0.519439864598
tôm	0.518559898445
thoai	0.517912713216
quất	0.516766973696
sắp	0.516592243819
nhanh	0.515215032248
bia	0.514600658465
shop	0.514333311636
đáo	0.514188840925
tô	0.514137105211
hạnh	0.51373107721
ngọt	0.513683907363
đa	0.512601211521
kkk	0.51257468988
lẩu	0.512201646451
voucher	0.512038454589
q	0.511240702812
😂😂😂😂	0.511013212693
sơn	0.510944184736
quậy	0.510462615529
gió	0.510365270883
cường	0.50987803643
19	0.509730371496
xếp	0.509003708736
hoàng	0.508881849414
hải	0.508584669643
thêm	0.508407376057
ce	0.508182867364
hứa	0.508179267806
mk	0.50732200138
ik	0.506683860669
nằm	0.506305192797
mong	0.504691354615
